山西龙江保险公估有限公司	保险公估机构	2019-7-26	请选择	
中国建设银行股份有限公司太原和平路支行	保险兼业代理	未知	 	
中国银行股份有限公司介休北街支行	保险兼业代理	未知	 	
中国银行股份有限公司介休裕华路支行	保险兼业代理	未知	 	
中国银行股份有限公司介休北坛路支行	保险兼业代理	未知	 	
中国银行股份有限公司灵石新城支行	保险兼业代理	未知	 	
中国银行股份有限公司灵石翠峰支行	保险兼业代理	未知	 	
中国银行股份有限公司灵石新建路支行	保险兼业代理	未知	 	
中国银行股份有限公司介休车站支行	保险兼业代理	未知	 	
中国银行股份有限公司晋中龙湖国际支行	保险兼业代理	未知	 	
中国银行股份有限公司晋中东城支行	保险兼业代理	未知	 	
中国银行股份有限公司晋中郭家堡支行	保险兼业代理	未知	 	
中国银行股份有限公司怀仁怀贤街支行	保险兼业代理	未知	 	
招商银行股份有限公司太原解放路支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原一电厂分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原晋源支行	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省清徐县支行醋都分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省清徐县支行美锦分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原育翠苑分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原茂业支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原长治路分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司阳曲县支行工商街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原大唐分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市建南分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市绿军苑分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原许西分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原黑土巷支行	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省古交市支行利民储蓄所	保险兼业代理	未知	 	
中国农业银行股份有限公司古交市支行文化路分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省古交市金牛分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市府西街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市柴村分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原太钢支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市北大街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原尖草坪分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原华德分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原丽华分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原前所街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原柳巷分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司方山桥头分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司文水凤城分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司文水东环路分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司长治新建路分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司襄垣市场分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司襄垣太行路分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司和顺新建街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司和顺义兴分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司和顺桥南分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司灵石天石新城分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司灵石新建街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司灵石常青分理处	保险兼业代理	未知	 	
交通银行股份有限公司朔州分行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原并州支行胜利街分理处	保险兼业代理	未知	 	
中国工商银行股份有限公司太原并州支行新建北路分理处	保险兼业代理	未知	 	
中国工商银行股份有限公司太原柏杨树支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原迎宾路支行南中环街分理处	保险兼业代理	未知	 	
中国工商银行股份有限公司太原坞城南路支行	保险兼业代理	未知	 	
中国工商银行股份有限公司古交金牛支行	保险兼业代理	未知	 	
中国工商银行股份有限公司古交马兰支行	保险兼业代理	未知	 	
上海浦东发展银行股份有限公司运城分行	保险兼业代理	未知	 	
上海浦东发展银行股份有限公司太原北大街支行	保险兼业代理	未知	 	
中国民生银行股份有限公司太原水西关支行	保险兼业代理	未知	 	
中国民生银行股份有限公司太原千峰南路支行	保险兼业代理	未知	 	
万荣县农村信用合作联社	保险兼业代理	未知	 	
壶关县农村信用合作联社	保险兼业代理	未知	 	
大同市邮政局广场分局同泉路邮政所	保险兼业代理	未知	 	
大同市邮政局迎宾分局东信广场营业所	保险兼业代理	未知	 	
大同市邮政局西花园分局	保险兼业代理	未知	 	
浑源县邮政局恒山北路邮政所	保险兼业代理	未知	 	
浑源县西坊城邮政支局	保险兼业代理	未知	 	
浑源县中庄铺邮政支局	保险兼业代理	未知	 	
浑源县邮政局恒山南路邮政所	保险兼业代理	未知	 	
浑源县邮政局西关邮政所	保险兼业代理	未知	 	
广灵县邮政局西关邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司大同左云县府西街支行	保险兼业代理	未知	 	
清徐县邮政局东于邮政所	保险兼业代理	未知	 	
清徐县邮政局西谷邮政所	保险兼业代理	未知	 	
清徐县邮政局湖东二街邮政所	保险兼业代理	未知	 	
清徐县邮政局城关邮政所	保险兼业代理	未知	 	
清徐县邮政局赵家堡邮政所	保险兼业代理	未知	 	
清徐县邮政局孟封邮政所	保险兼业代理	未知	 	
山西省太原市邮政局车站邮政支局	保险兼业代理	未知	 	
山西省太原市邮政局坞城南路邮政所	保险兼业代理	未知	 	
阳高县邮政局罗文皂邮政所	保险兼业代理	未知	 	
阳高县邮政局友宰邮政所	保险兼业代理	未知	 	
阳高县邮政局古城邮政所	保险兼业代理	未知	 	
阳高县邮政局大白登邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司大同市大同县大西街支行	保险兼业代理	未知	 	
大同县邮政局城镇储蓄点	保险兼业代理	未知	 	
大同县邮政局湖东邮政所	保险兼业代理	未知	 	
天镇县邮政局北门外邮政所	保险兼业代理	未知	 	
大同市邮政局御河分局御河西路邮政所	保险兼业代理	未知	 	
盂县邮政局藏山路邮政支局	保险兼业代理	未知	 	
盂县邮政局新建东路邮政支局	保险兼业代理	未知	 	
盂县邮政局藏山北路邮政支局	保险兼业代理	未知	 	
盂县邮政局清城邮政支局	保险兼业代理	未知	 	
盂县邮政局南娄邮政支局	保险兼业代理	未知	 	
盂县邮政局牛村邮政支局	保险兼业代理	未知	 	
盂县邮政局仙人邮政支局	保险兼业代理	未知	 	
潞城市邮政局西华路邮政支局	保险兼业代理	未知	 	
襄垣县夏店邮政支局	保险兼业代理	未知	 	
壶关县邮政局城南新区营业所	保险兼业代理	未知	 	
壶关县邮政局古城路邮政营业所	保险兼业代理	未知	 	
壶关县邮政局店上邮政所	保险兼业代理	未知	 	
壶关县邮政局黄山邮政所	保险兼业代理	未知	 	
壶关县邮政局桥北邮政所	保险兼业代理	未知	 	
壶关县邮政局辛村邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司长治壶关县西城路营业所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司长治长子县东大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司长治长子县南大街支行	保险兼业代理	未知	 	
长子县邮政局广场储蓄点	保险兼业代理	未知	 	
沁县邮政局友谊街邮电所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司沁源县北元营业所	保险兼业代理	未知	 	
晋城市邮政局红星西街邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司朔州怀仁县西关街支行	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司怀仁县云州西街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司朔州怀仁县新建路支行	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司怀仁县迎新街营业所	保险兼业代理	未知	 	
原平市邮政局永康南路邮所	保险兼业代理	未知	 	
原平市邮政局闫庄邮政所	保险兼业代理	未知	 	
代县邮政局教场邮政所	保险兼业代理	未知	 	
代县邮政局峨口邮政支局	保险兼业代理	未知	 	
代县邮政局西大街支局	保险兼业代理	未知	 	
五寨县迎宾路邮政支局	保险兼业代理	未知	 	
五寨县邮政局广场邮政支局	保险兼业代理	未知	 	
五寨县政府路邮政支局	保险兼业代理	未知	 	
偏关县邮政局南门邮政所 储蓄点	保险兼业代理	未知	 	
静乐县邮政局鹅城路邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行忻州 静乐县西林路支行	保险兼业代理	未知	 	
静乐县邮政局杜家村邮电所	保险兼业代理	未知	 	
晋中市邮政局东阳邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司晋中介休市新建路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司晋中榆社县河南街营业所	保险兼业代理	未知	 	
山西省平遥县邮政局段村邮政支局储蓄点	保险兼业代理	未知	 	
交城县邮政局南环路支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司岚县向阳路营业所	保险兼业代理	未知	 	
孝义市邮政局兑镇邮政支局	保险兼业代理	未知	 	
孝义市邮政局水峪邮政支局	保险兼业代理	未知	 	
孝义市邮政局西泉邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任 公司吕梁交口县龙泉街支行	保险兼业代理	未知	 	
吕梁市邮政局凤山路支局 储蓄点	保险兼业代理	未知	 	
吕梁市邮政局莲花支局储蓄点	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司吕梁临县城关镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司吕梁临县东关街支行	保险兼业代理	未知	 	
临县邮政局林家坪邮政支局	保险兼业代理	未知	 	
临县邮政局白文邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾贡院街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾信合西路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市向阳西路营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市向阳路营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市新东城营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司翼城县城关镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司襄汾县张礼营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司襄汾县赵康镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾洪洞县古槐北路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾古县相如路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾古县岳阳街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司古县北平镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司安泽县府北街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司安泽县唐城镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司安泽县和川镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司安泽县冀氏镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司吉县广场营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司大宁县东街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司大宁县中街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司隰县新建路营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾隰县南大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司乡宁县尉庄乡营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾蒲县东大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾蒲县城西支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司蒲县蒲伊东街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司蒲县乔家湾乡营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司侯马市南街营业所	保险兼业代理	未知	 	
绛县邮政局安峪邮政支局	保险兼业代理	未知	 	
绛县邮政局西横邮政储蓄所	保险兼业代理	未知	 	
绛县邮政局陈村邮政支局	保险兼业代理	未知	 	
绛县邮政局大交邮政所	保险兼业代理	未知	 	
绛县邮政局么里邮政所	保险兼业代理	未知	 	
绛县邮政局南樊邮政支局	保险兼业代理	未知	 	
芮城县邮政局陌南支局	保险兼业代理	未知	 	
芮城县邮政局大王支局	保险兼业代理	未知	 	
芮城县邮政局风陵渡开发区邮政储蓄点	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市于乡镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市振兴街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市张营镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市电机支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市电厂支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司平陆县张店镇邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司平陆县常乐镇邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司平陆县洪池乡营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司运城平陆县西大街支行	保险兼业代理	未知	 	
阳泉市邮政局二矿邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司屯留县麟绛府东大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司屯留县余吾营业所	保险兼业代理	未知	 	
长治市邮政局石圪节邮电所	保险兼业代理	未知	 	
长治市邮政局太东邮电所	保险兼业代理	未知	 	
长治市邮政局太西路分局华苑邮政所	保险兼业代理	未知	 	
长治市邮政局太西路分局紫金西街邮政所	保险兼业代理	未知	 	
长治市邮政局五一路邮电所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司黎城县火车站营业所	保险兼业代理	未知	 	
沁县邮政局新店邮电所	保险兼业代理	未知	 	
武乡县邮政局太行街储蓄点	保险兼业代理	未知	 	
武乡县邮政局监漳邮电所	保险兼业代理	未知	 	
武乡县邮政局洪水邮电支局	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司三环西路营业所	保险兼业代理	未知	 	
忻州市邮政局义井邮政所	保险兼业代理	未知	 	
忻州市邮政局顿村支局	保险兼业代理	未知	 	
忻州市邮政局紫岩邮政所	保险兼业代理	未知	 	
忻州市邮政局董村邮政所	保险兼业代理	未知	 	
忻州市邮政局上社邮政所	保险兼业代理	未知	 	
忻州市邮政局播明邮政支局	保险兼业代理	未知	 	
忻州市邮政局忻定农牧场 邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司忻州五台县向前街支行	保险兼业代理	未知	 	
五台县陈家庄邮政支局	保险兼业代理	未知	 	
五台县石咀邮政支局	保险兼业代理	未知	 	
原平市邮政局东社邮政支局	保险兼业代理	未知	 	
原平市邮政局官地邮政所	保险兼业代理	未知	 	
原平市邮政局中心营业厅	保险兼业代理	未知	 	
原平市邮政局焦家寨邮政所	保险兼业代理	未知	 	
繁峙县邮政局京台邮政营业所	保险兼业代理	未知	 	
繁峙县邮政局二道街邮政所	保险兼业代理	未知	 	
宁武县余庄邮电支局	保险兼业代理	未知	 	
宁武县凤凰东大街邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司忻州宁武县前进街支行	保险兼业代理	未知	 	
神池县邮政局储蓄点	保险兼业代理	未知	 	
五寨县邮政局三岔邮政中心支局	保险兼业代理	未知	 	
河曲县邮政局大电厂支局	保险兼业代理	未知	 	
河曲县邮政局黄河大街所	保险兼业代理	未知	 	
偏关县邮政局塔梁邮政所 储蓄点	保险兼业代理	未知	 	
邮政储蓄偏关县鼓楼营业所	保险兼业代理	未知	 	
静乐县邮政局大桥邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临县麻峪村营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市锦悦营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市山西师大营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临汾市煤化巷营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永和县城南营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县东镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县太风西路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县河底镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县太风路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市舜都大道营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市栲栳镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市舜都市场营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市卿头镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司永济市开张镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司垣曲县中条大街大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司垣曲县黄河路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司垣曲县胡家峪支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司垣曲县铜矿峪营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司垣曲县王茅镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临猗县孙吉镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临猗县西大街支行	保险兼业代理	未知	 	
临猗县邮政局闫家庄邮政所	保险兼业代理	未知	 	
临猗县邮政局北景邮政支局	保险兼业代理	未知	 	
临猗县邮政局北辛邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司临猗县双塔南路营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市华兴璐支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市龙门大道支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市铝厂朝霞支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市东都营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市海华营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司新绛县万安镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司新绛县东岳巷营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司新绛县四府街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司新绛县汾河湾支行	保险兼业代理	未知	 	
万荣县宝井邮政所	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司运城万荣县王显乡支行	保险兼业代理	未知	 	
中国邮政储蓄银行有限责任公司运城万荣县南大街支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司运城市解州镇支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市长风街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市山纺分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原赛马场支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原五一路支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原中北大学分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原滨西分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原迎新支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原新北支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市西铭路储蓄所	保险兼业代理	未知	 	
中国农业银行股份有限公司太原新南支行	保险兼业代理	未知	 	
中国农业发展银行文水县支行	保险兼业代理	未知	 	
中国农业发展银行盂县支行	保险兼业代理	未知	 	
中国农业发展银行襄垣县支行	保险兼业代理	未知	 	
中国农业发展银行屯留县支行	保险兼业代理	未知	 	
中国农业发展银行长治县支行	保险兼业代理	未知	 	
中国农业发展银行祁县支行	保险兼业代理	未知	 	
中国农业发展银行太谷县支行	保险兼业代理	未知	 	
中国农业发展银行和顺县支行	保险兼业代理	未知	 	
中国农业发展银行河曲县支行	保险兼业代理	未知	 	
中国农业发展银行五台县支行	保险兼业代理	未知	 	
中国农业发展银行神池县支行	保险兼业代理	未知	 	
中国农业发展银行怀仁县支行	保险兼业代理	未知	 	
长治银行股份有限公司长治县支行	保险兼业代理	未知	 	
兴业银行股份有限公司太原并州路支行	保险兼业代理	未知	 	
浑源县邮政局天峰北路邮政所	保险兼业代理	未知	 	
忻州市邮政局真檀邮政所 储蓄点	保险兼业代理	未知	 	
忻州市邮政局三交邮政支局	保险兼业代理	未知	 	
五寨县三岔镇十字街邮政所	保险兼业代理	未知	 	
五寨县大东街邮政所	保险兼业代理	未知	 	
稷山县蔡村邮政所	保险兼业代理	未知	 	
稷山县清河邮政所	保险兼业代理	未知	 	
稷山县化峪邮政所	保险兼业代理	未知	 	
稷山县太阳邮政所	保险兼业代理	未知	 	
阳泉市邮政局李家庄邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司广灵县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司忻州长征东街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司长治漳电支行	保险兼业代理	未知	 	
中国工商银行股份有限公司吕梁龙凤南大街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原桃园路支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原牡丹支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原坞城世纪花园支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原迎宾路支行平阳南路分理处	保险兼业代理	未知	 	
中国工商银行股份有限公司太原长风西大街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司稷山支行	保险兼业代理	未知	 	
中国工商银行股份有限公司闻喜龙海支行	保险兼业代理	未知	 	
中国工商银行股份有限公司繁峙支行	保险兼业代理	未知	 	
中国工商银行股份有限公司左权城区支行	保险兼业代理	未知	 	
中国工商银行股份有限公司和顺云龙支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司岢岚县北大街营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司岢岚县城区营业所	保险兼业代理	未知	 	
神池县邮政局南关支局储蓄点	保险兼业代理	未知	 	
神池县邮政局义井支局	保险兼业代理	未知	 	
神池县邮政局府东街支局	保险兼业代理	未知	 	
河曲县邮政局楼子营所	保险兼业代理	未知	 	
河曲县邮政局沙泉支局	保险兼业代理	未知	 	
河曲县邮政局旧县支局	保险兼业代理	未知	 	
忻州市邮政局豆罗邮政支局	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司吕梁临县三交镇支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司蒲县北关营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司蒲县太林乡营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司古县宝丰乡营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司古县旧县镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司新绛县龙兴路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县礼元镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县凹底镇营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县三五三四工厂营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司闻喜县三五三一工厂营业所	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司河津市汾滨街营业所	保险兼业代理	未知	 	
平定县农村信用合作联社城关信用社	保险兼业代理	未知	 	
平定县农村信用合作联社南坳信用社	保险兼业代理	未知	 	
平定县农村信用合作联社冶西信用社	保险兼业代理	未知	 	
平定县农村信用合作联社锁簧信用社	保险兼业代理	未知	 	
平定县农村信用合作联社张庄信用社	保险兼业代理	未知	 	
平定县农村信用合作联社石门口信用社	保险兼业代理	未知	 	
平定县农村信用合作联社柏井信用社	保险兼业代理	未知	 	
平定县农村信用合作联社东回信用社	保险兼业代理	未知	 	
平定县农村信用合作联社槐树铺分社	保险兼业代理	未知	 	
平定县农村信用合作联社娘子关信用社	保险兼业代理	未知	 	
平定县农村信用合作联社巨城信用社	保险兼业代理	未知	 	
平定县农村信用合作联社岔口信用社	保险兼业代理	未知	 	
平定县农村信用合作联社东升信用社	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市半坡西街储蓄所	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市南内环东街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市体育馆分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司太原大营盘支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市并东分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司广灵城关分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司吕梁广场支行	保险兼业代理	未知	 	
中国农业银行股份有限公司交城天宁街分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司柳林龙城分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司柳林贺昌分理处	保险兼业代理	未知	 	
中国农业银行股份有限公司运城学苑路分理处	保险兼业代理	未知	 	
太原市城区农村信用合作联社北格信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社小店信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社朝阳信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社西温庄信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社黄陵信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社亲贤信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社晋源信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社姚村信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社金胜信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社晋祠信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社水西关信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社小返信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社东社信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社郝庄信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社王封信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社迎泽信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社后王信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社孟家井信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社小井峪信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社西铭信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社柴村信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社上兰信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社新城信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社向阳信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社阳曲信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社柏板信用社	保险兼业代理	未知	 	
太原市城区农村信用合作联社中涧河信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社黄寨信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社北留信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社侯村信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社东黄水信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社东凌井信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社高村信用社	保险兼业代理	未知	 	
阳曲县农村信用合作联社大盂信用社	保险兼业代理	未知	 	
